user_id,total_orders
7,24
10,30
38,50
42,23
43,29
54,22
59,21
62,33
63,72
65,20
75,37
77,38
90,40
110,47
124,21
133,30
140,88
150,26
153,21
154,85
160,23
161,22
169,28
184,27
197,29
209,35
210,159
214,61
216,29
222,42
223,23
227,40
229,20
233,36
234,71
235,40
236,31
248,35
255,22
262,23
264,29
280,51
281,23
284,46
289,53
290,124
310,27
313,76
321,27
323,99
334,81
337,57
341,22
342,27
364,23
373,49
390,35
396,35
398,39
409,69
432,37
437,38
444,32
462,103
463,32
464,44
465,21
466,60
486,23
487,39
496,23
508,20
511,34
520,29
526,37
528,34
535,22
543,24
553,24
555,20
567,31
580,31
582,36
583,73
588,27
589,20
596,34
604,49
605,32
612,47
621,72
626,36
639,24
641,23
649,149
653,40
655,80
657,26
662,63
667,64
669,29
671,25
672,21
690,40
699,66
704,38
719,48
723,30
728,24
730,21
742,26
762,66
768,28
778,27
786,45
797,52
812,94
839,34
846,20
847,120
852,30
854,74
855,31
857,103
859,32
874,41
880,79
881,55
894,76
899,21
908,81
911,31
917,28
932,25
933,23
958,21
960,21
963,24
964,20
972,29
982,26
984,45
992,21
995,32
1004,20
1008,23
1013,37
1018,37
1021,50
1027,43
1035,36
1036,35
1037,35
1046,30
1056,34
1059,38
1066,63
1075,31
1083,29
1084,23
1088,25
1089,24
1095,69
1096,22
1130,33
1136,20
1139,27
1144,23
1151,25
1161,33
1164,46
1197,73
1216,34
1221,36
1242,67
1246,20
1249,30
1264,71
1267,38
1271,49
1272,30
1281,35
1285,43
1288,44
1306,22
1310,29
1311,28
1314,20
1319,24
1321,30
1331,24
1345,37
1352,54
1360,33
1370,25
1373,25
1376,21
1378,77
1381,51
1388,24
1390,25
1395,31
1401,25
1404,23
1420,55
1424,126
1425,20
1426,30
1427,28
1432,43
1433,26
1454,36
1459,33
1479,28
1486,26
1496,57
1498,56
1504,49
1505,22
1513,24
1519,22
1520,23
1531,40
1532,21
1535,58
1538,47
1540,57
1542,20
1547,25
1549,68
1553,67
1562,25
1563,111
1569,27
1574,21
1575,33
1577,73
1584,36
1592,20
1595,46
1615,25
1621,43
1629,41
1633,33
1648,26
1652,35
1666,54
1672,50
1676,21
1683,40
1702,24
1706,33
1707,20
1712,53
1715,21
1716,138
1721,73
1727,37
1730,31
1738,33
1740,22
1742,33
1748,72
1750,56
1753,20
1754,21
1758,55
1759,25
1770,28
1773,26
1776,34
1785,27
1789,60
1791,20
1795,25
1798,63
1802,22
1803,33
1812,30
1815,24
1817,29
1822,24
1826,27
1830,41
1837,86
1838,33
1845,20
1847,32
1850,67
1852,22
1854,27
1859,34
1866,74
1868,92
1890,23
1901,35
1920,21
1932,23
1935,27
1941,28
1943,121
1948,27
1951,34
1953,30
1955,24
1958,61
1983,43
1987,21
1990,28
1997,24
2001,24
2011,61
2019,55
2041,43
2049,35
2055,63
2063,35
2081,27
2091,20
2094,42
2100,57
2114,48
2130,32
2131,24
2143,26
2154,34
2157,116
2163,50
2184,25
2192,22
2199,31
2211,40
2215,38
2216,53
2228,21
2231,57
2232,36
2235,27
2238,23
2241,35
2242,20
2244,100
2245,60
2246,27
2252,28
2281,25
2285,29
2286,33
2303,48
2307,56
2313,66
2316,32
2325,20
2335,204
2342,45
2344,67
2347,26
2349,52
2352,37
2357,23
2375,35
2383,65
2387,25
2396,54
2397,35
2399,32
2405,48
2407,24
2409,31
2412,21
2415,45
2420,52
2427,20
2428,54
2432,32
2437,39
2439,46
2440,75
2443,63
2446,23
2456,40
2461,24
2467,30
2468,29
2473,24
2476,47
2488,41
2489,23
2490,28
2492,22
2495,36
2496,42
2497,22
2518,55
2530,34
2531,33
2535,29
2539,42
2543,26
2544,26
2551,21
2561,20
2562,56
2565,39
2566,38
2574,58
2576,22
2583,25
2584,38
2588,38
2593,57
2595,22
2596,70
2603,31
2604,65
2609,40
2610,22
2611,36
2630,28
2646,24
2650,48
2658,54
2660,22
2663,42
2673,20
2688,35
2690,21
2701,47
2707,20
2741,23
2756,25
2764,27
2765,22
2773,44
2776,25
2779,47
2785,29
2786,30
2789,22
2790,35
2799,34
2800,32
2804,25
2805,49
2817,23
2823,22
2834,38
2847,22
2849,47
2871,66
2877,58
2899,35
2902,32
2903,31
2915,47
2916,39
2917,28
2928,20
2936,29
2947,22
2951,109
2974,34
2978,28
2993,24
2998,28
3009,22
3011,59
3014,23
3016,105
3017,46
3018,21
3036,25
3051,25
3066,21
3067,29
3083,28
3119,58
3122,21
3126,22
3128,44
3140,45
3142,26
3148,54
3152,46
3154,54
3190,47
3194,90
3199,23
3203,20
3208,35
3219,44
3220,28
3221,24
3223,21
3226,44
3236,22
3242,98
3246,20
3255,50
3256,92
3273,32
3283,22
3284,45
3289,25
3295,36
3296,55
3305,29
3309,95
3312,23
3313,31
3321,29
3324,27
3326,28
3332,27
3350,29
3363,62
3375,36
3377,20
3378,21
3380,27
3405,25
3406,55
3421,24
3422,68
3431,45
3435,31
3438,47
3450,23
3451,36
3452,37
3464,31
3470,21
3475,39
3477,28
3484,20
3485,32
3490,35
3509,55
3510,29
3512,21
3514,35
3536,28
3538,98
3539,20
3543,41
3549,69
3562,20
3571,23
3572,28
3579,41
3580,42
3584,51
3586,21
3593,37
3594,20
3600,106
3602,58
3605,112
3608,51
3614,52
3618,20
3623,81
3628,24
3634,36
3637,24
3639,40
3651,85
3652,28
3653,21
3655,39
3659,58
3664,29
3669,44
3679,21
3681,20
3682,20
3683,26
3704,29
3712,31
3718,20
3720,122
3728,24
3733,43
3735,20
3742,56
3744,22
3750,28
3752,20
3753,26
3756,26
3762,24
3780,26
3782,36
3786,20
3787,37
3794,99
3799,95
3807,49
3808,31
3818,27
3819,21
3826,21
3830,148
3838,50
3850,35
3854,31
3856,43
3865,47
3874,21
3880,65
3884,44
3888,27
3923,38
3935,44
3951,38
3964,51
3967,40
3971,21
3974,31
3979,26
3985,20
3989,24
4002,29
4004,49
4014,28
4030,27
4052,20
4054,20
4071,38
4076,55
4090,37
4098,35
4099,33
4116,30
4119,44
4124,25
4130,41
4151,91
4157,66
4158,25
4166,60
4167,20
4170,51
4176,27
4177,69
4183,22
4192,37
4193,50
4194,30
4198,27
4199,83
4203,91
4208,45
4215,25
4218,21
4220,30
4223,36
4224,67
4229,36
4246,22
4249,25
4254,40
4255,23
4267,45
4284,32
4297,70
4317,25
4318,30
4323,23
4326,33
4330,29
4336,28
4344,40
4345,51
4347,22
4352,32
4356,71
4358,43
4362,22
4363,59
4368,39
4371,24
4375,23
4376,40
4382,38
4383,33
4385,42
4407,21
4415,59
4417,39
4419,29
4427,67
4436,36
4452,26
4459,31
4468,26
4472,24
4474,34
4477,29
4486,31
4490,43
4494,38
4495,42
4499,47
4515,39
4516,24
4528,30
4531,32
4540,20
4541,53
4543,73
4544,50
4557,47
4558,56
4562,73
4563,68
4568,41
4569,62
4591,44
4593,24
4596,27
4602,21
4607,40
4608,45
4610,50
4613,31
4617,34
4622,22
4625,110
4629,21
4638,21
4641,37
4647,23
4648,37
4650,35
4659,44
4661,26
4669,29
4684,36
4693,40
4694,163
4696,21
4697,25
4703,28
4705,29
4711,49
4713,21
4715,29
4720,63
4724,101
4730,20
4734,33
4743,26
4750,20
4752,41
4753,26
4762,28
4764,28
4781,31
4783,25
4785,49
4789,49
4793,42
4794,58
4796,38
4807,71
4809,55
4821,20
4825,47
4829,34
4831,25
4847,55
4850,20
4851,32
4856,20
4860,42
4865,22
4866,28
4869,82
4875,23
4889,29
4893,54
4895,36
4900,32
4911,23
4934,74
4941,96
4949,29
4954,20
4962,30
4963,40
4967,43
4972,34
4976,47
4977,45
4980,27
4987,42
5002,39
5003,72
5009,53
5011,21
5025,22
5029,21
5030,32
5042,34
5050,46
5051,36
5064,41
5073,26
5076,26
5082,22
5092,43
5094,58
5101,49
5103,34
5105,82
5107,54
5121,31
5125,20
5130,22
5133,27
5139,20
5151,29
5154,21
5156,20
5159,31
5168,56
5170,25
5171,34
5173,20
5174,93
5185,41
5191,57
5195,38
5198,91
5199,83
5204,43
5209,68
5211,64
5214,22
5218,35
5220,42
5228,41
5237,66
5239,26
5241,31
5249,65
5253,39
5256,27
5260,25
5262,21
5266,39
5278,45
5283,75
5285,49
5287,52
5293,114
5295,36
5296,25
5301,65
5303,32
5304,39
5307,27
5308,25
5309,21
5312,47
5320,48
5328,69
5329,56
5330,32
5332,21
5341,28
5348,32
5351,32
5352,30
5353,53
5360,170
5361,46
5366,20
5377,91
5382,49
5384,32
5392,34
5394,36
5396,28
5400,24
5402,57
5416,33
5417,34
5434,22
5435,25
5440,29
5449,46
5450,27
5471,23
5483,34
5487,27
5491,59
5492,40
5510,36
5519,43
5527,70
5540,37
5541,29
5546,22
5551,35
5557,84
5583,20
5587,35
5588,55
5590,41
5599,143
5611,29
5613,40
5617,21
5626,22
5629,22
5634,22
5639,43
5641,48
5644,20
5646,28
5651,39
5659,41
5665,98
5669,60
5672,23
5680,46
5682,21
5684,26
5692,27
5693,26
5705,28
5712,54
5715,71
5729,31
5732,32
5738,38
5760,27
5762,58
5769,25
5776,25
5779,32
5801,20
5802,27
5807,20
5814,39
5815,39
5826,22
5828,22
5832,21
5847,22
5848,56
5857,32
5860,28
5862,26
5864,33
5876,24
5886,20
5891,28
5896,24
5897,112
5898,30
5900,30
5901,31
5908,22
5912,61
5916,39
5921,31
5925,20
5931,37
5932,42
5950,25
5960,29
5961,66
5963,26
5964,26
5971,40
5972,28
5983,26
5987,21
5990,26
6002,51
6003,20
6009,38
6010,28
6015,50
6025,29
6058,21
6060,20
6064,36
6086,29
6087,80
6118,62
6125,20
6131,23
6136,26
6155,28
6171,30
6188,43
