order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,reordered,department_id,department,product_name
2425083,49125,1,2,18,0,17,1,0,13,pantry,"baking ingredients"
2425083,49125,1,2,18,0,91,2,0,16,"dairy eggs","soy lactosefree"
2425083,49125,1,2,18,0,36,3,0,16,"dairy eggs",butter
2425083,49125,1,2,18,0,83,4,0,4,produce,"fresh vegetables"
2425083,49125,1,2,18,0,83,5,0,4,produce,"fresh vegetables"
2425083,49125,1,2,18,0,91,6,0,16,"dairy eggs","soy lactosefree"
2425083,49125,1,2,18,0,120,7,0,16,"dairy eggs",yogurt
2425083,49125,1,2,18,0,59,8,0,15,"canned goods","canned meals beans"
2425083,49125,1,2,18,0,35,9,0,12,"meat seafood","poultry counter"
1944304,162867,1,3,17,0,37,1,0,1,frozen,"ice cream ice"
1944304,162867,1,3,17,0,24,2,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,83,3,0,4,produce,"fresh vegetables"
1944304,162867,1,3,17,0,84,4,0,16,"dairy eggs",milk
1944304,162867,1,3,17,0,91,5,0,16,"dairy eggs","soy lactosefree"
1944304,162867,1,3,17,0,24,6,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,24,7,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,24,8,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,21,9,0,16,"dairy eggs","packaged cheese"
1944304,162867,1,3,17,0,112,10,0,3,bakery,bread
1944304,162867,1,3,17,0,24,11,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,24,12,0,4,produce,"fresh fruits"
1944304,162867,1,3,17,0,24,13,0,4,produce,"fresh fruits"
1201011,147243,14,0,16,3,94,1,0,7,beverages,tea
1201011,147243,14,0,16,3,83,2,0,4,produce,"fresh vegetables"
1201011,147243,14,0,16,3,83,3,1,4,produce,"fresh vegetables"
1201011,147243,14,0,16,3,24,4,1,4,produce,"fresh fruits"
1201011,147243,14,0,16,3,120,5,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,120,6,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,91,7,1,16,"dairy eggs","soy lactosefree"
1201011,147243,14,0,16,3,120,8,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,120,9,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,8,10,0,3,bakery,"bakery desserts"
1201011,147243,14,0,16,3,24,11,1,4,produce,"fresh fruits"
1201011,147243,14,0,16,3,52,12,0,1,frozen,"frozen breakfast"
1201011,147243,14,0,16,3,36,13,1,16,"dairy eggs",butter
1201011,147243,14,0,16,3,121,14,0,14,breakfast,cereal
1201011,147243,14,0,16,3,86,15,0,16,"dairy eggs",eggs
1906860,195275,81,1,11,3,83,1,1,4,produce,"fresh vegetables"
1906860,195275,81,1,11,3,86,2,1,16,"dairy eggs",eggs
1906860,195275,81,1,11,3,24,3,1,4,produce,"fresh fruits"
1906860,195275,81,1,11,3,24,4,1,4,produce,"fresh fruits"
1906860,195275,81,1,11,3,43,5,1,3,bakery,"buns rolls"
1906860,195275,81,1,11,3,120,6,1,16,"dairy eggs",yogurt
1906860,195275,81,1,11,3,24,7,1,4,produce,"fresh fruits"
